RecordID,StudentID,CourseID,Department,ExamDate,Grade
116,S007,C06,CS,2023-03-14,80
117,S100,C02,CS,2022-11-05,40
118,S002,C06,AI,2022-12-23,90
119,S062,C10,CS,2022-10-23,40
120,S047,C08,AI,2023-02-07,50
121,S096,C03,AI,2023-06-06,90
122,S070,C04,IT,2022-11-19,100
123,S049,C04,AI,2023-03-17,100
124,S025,C02,IT,2023-06-03,50
125,S010,C07,AI,2022-10-16,100
126,S027,C01,AI,2022-12-01,90
127,S022,C06,AI,2022-12-16,50
128,S043,C05,IS,2022-11-19,40
129,S063,C07,IS,2023-02-22,40
130,S042,C05,CS,2023-03-28,90
131,S037,C08,IT,2022-10-30,100
132,S054,C07,CS,2022-11-01,70
133,S021,C02,AI,2023-05-31,40
134,S001,C09,IS,2023-06-20,70
135,S011,C07,CS,2023-03-28,100
136,S062,C04,AI,2022-09-12,70
137,S059,C10,AI,2023-04-03,60
138,S072,C03,AI,2022-11-25,50
139,S061,C08,AI,2023-03-26,60
140,S096,C09,AI,2022-09-12,80
141,S070,C06,AI,2023-02-03,50
142,S031,C04,IS,2022-11-22,80
143,S100,C01,CS,2022-09-30,50
144,S054,C05,IT,2022-12-10,40
145,S022,C08,IS,2022-09-22,80
146,S032,C01,CS,2022-11-12,90
147,S063,C08,IS,2022-09-12,70
148,S081,C06,IS,2022-09-09,50
149,S033,C01,IT,2023-01-01,40
150,S066,C08,IS,2023-02-27,60
151,S071,C07,IS,2023-01-29,70
152,S008,C02,AI,2023-03-04,70
153,S093,C07,AI,2023-03-02,40
154,S021,C10,IT,2023-06-09,100
155,S042,C05,IT,2022-09-03,90
156,S075,C07,CS,2022-11-27,50
157,S062,C06,AI,2022-11-01,70
158,S032,C04,CS,2023-05-10,100
159,S007,C09,IS,2023-05-09,40
160,S100,C10,CS,2023-01-04,100
161,S083,C03,IT,2023-04-19,70
162,S091,C09,IT,2023-04-05,90
163,S030,C07,AI,2022-12-07,50
164,S093,C06,AI,2022-11-06,100
165,S026,C10,CS,2023-05-26,90
166,S024,C04,CS,2023-03-21,90
167,S088,C09,CS,2023-05-16,50
168,S089,C10,IS,2023-02-09,100
169,S063,C10,IT,2023-04-29,50
170,S049,C07,AI,2023-05-19,40
171,S054,C10,CS,2023-01-05,40
172,S014,C02,IS,2023-01-05,60
173,S093,C06,IS,2023-06-01,60
174,S018,C06,IT,2022-10-07,40
175,S097,C08,CS,2023-03-26,80
176,S080,C01,IT,2022-11-09,70
177,S031,C08,AI,2022-10-04,50
178,S011,C06,IS,2022-11-19,90
179,S008,C08,CS,2022-09-28,40
180,S057,C09,AI,2023-06-09,80
181,S040,C10,IS,2023-01-28,80
182,S018,C08,IS,2023-03-02,40
183,S034,C05,IS,2023-06-14,40
184,S033,C07,IS,2023-04-26,70
185,S052,C03,IS,2022-10-30,50
186,S072,C10,IT,2022-09-02,70
187,S098,C06,AI,2023-01-15,50
188,S041,C04,IT,2022-09-26,40
189,S098,C10,IT,2023-06-17,80
190,S071,C03,CS,2023-06-22,60
191,S046,C08,IS,2023-02-05,100
192,S033,C02,IT,2023-03-01,100
193,S009,C02,IT,2023-04-15,100
194,S070,C04,IS,2023-06-12,90
195,S038,C01,AI,2023-02-21,70
196,S077,C01,IS,2023-02-19,70
197,S063,C05,AI,2022-09-01,60
198,S033,C10,AI,2022-12-03,100
199,S030,C07,AI,2023-02-12,90
200,S036,C02,IS,2022-10-28,40
201,S014,C05,AI,2022-12-30,50
202,S070,C03,CS,2023-05-16,80
203,S037,C03,IS,2023-06-21,50
204,S076,C02,IT,2023-02-09,40
205,S044,C08,IT,2023-04-18,40
206,S077,C08,IT,2022-09-09,100
207,S072,C05,IT,2023-05-25,80
208,S014,C03,AI,2023-02-07,80
209,S039,C01,AI,2022-11-25,50
210,S049,C01,AI,2023-04-10,70
211,S078,C10,CS,2022-09-16,100
212,S075,C03,IS,2023-03-27,50
213,S076,C09,AI,2023-03-14,50
214,S044,C09,IT,2023-03-04,80
215,S075,C01,CS,2022-11-15,40
216,S017,C04,IS,2023-01-03,90
217,S010,C08,AI,2022-10-01,100
218,S058,C06,CS,2022-12-19,50
219,S079,C10,IT,2023-02-26,40
220,S038,C03,AI,2023-03-16,40
221,S017,C08,CS,2023-02-02,90
222,S024,C08,AI,2023-01-28,100
223,S008,C08,IS,2022-09-24,60
224,S009,C02,IS,2023-05-28,70
225,S005,C02,IT,2022-11-05,40
226,S030,C07,CS,2022-10-10,60
227,S006,C07,IS,2023-02-18,80
228,S078,C10,IS,2023-03-17,60
229,S050,C01,CS,2023-04-27,50
230,S072,C02,AI,2023-06-04,90
231,S046,C05,CS,2022-09-26,60
232,S075,C08,IS,2023-02-12,50
233,S021,C06,AI,2022-10-19,90
234,S047,C04,IS,2022-09-27,90
235,S040,C01,IS,2022-10-28,90
236,S096,C06,CS,2022-11-07,80
237,S004,C05,IT,2023-03-01,80
238,S003,C10,IS,2023-06-06,90
239,S049,C09,AI,2023-04-18,100
240,S041,C01,IT,2023-01-29,50
241,S046,C06,IS,2023-04-01,90
242,S013,C08,IT,2022-12-25,70
243,S069,C06,IS,2023-01-05,80
244,S088,C07,CS,2022-10-04,50
245,S049,C04,IT,2022-09-26,40
246,S047,C06,CS,2022-12-05,90
247,S085,C10,CS,2022-10-10,40
248,S053,C04,CS,2023-06-13,90
249,S056,C08,IS,2022-10-28,40
250,S070,C02,IT,2023-06-19,100
251,S080,C02,AI,2023-01-14,40
252,S042,C10,CS,2023-02-01,90
253,S030,C04,AI,2022-11-05,70
254,S085,C06,IS,2022-12-13,70
255,S007,C07,IT,2023-04-11,60
256,S019,C06,IT,2023-06-17,90
257,S100,C05,AI,2022-12-14,70
258,S052,C02,IS,2022-09-26,50
259,S051,C09,CS,2022-11-13,80
260,S093,C04,IS,2022-12-23,40
261,S008,C01,AI,2023-03-24,90
262,S065,C01,CS,2022-11-07,70
263,S040,C01,IT,2023-04-05,60
264,S037,C08,AI,2022-09-11,80
265,S028,C03,IT,2022-10-07,40
266,S079,C03,IS,2023-02-12,60
267,S068,C10,IS,2022-09-26,90
268,S098,C09,IT,2023-06-23,50
269,S051,C05,AI,2023-04-05,80
270,S051,C08,IS,2023-04-01,60
271,S072,C04,IS,2023-06-03,70
272,S006,C01,AI,2023-04-26,50
273,S005,C08,IT,2022-09-18,70
274,S076,C03,CS,2023-01-02,90
275,S083,C02,IT,2023-06-03,50
276,S078,C06,IT,2022-09-25,80
277,S060,C04,IT,2023-04-27,90
278,S010,C04,AI,2022-10-22,40
279,S023,C03,IT,2022-12-30,40
280,S060,C01,CS,2022-10-19,40
281,S090,C01,CS,2023-05-04,100
282,S057,C02,IT,2022-10-25,50
283,S015,C10,IS,2022-11-24,80
284,S036,C06,IT,2023-05-15,80
285,S027,C07,IT,2023-06-01,70
286,S060,C10,IS,2023-04-17,100
287,S001,C06,CS,2023-01-12,80
288,S033,C02,AI,2023-03-30,60
289,S056,C02,IS,2022-11-22,100
290,S099,C06,IT,2022-10-28,40
291,S049,C05,IT,2023-01-02,40
292,S044,C05,AI,2023-03-23,80
293,S009,C05,IS,2023-03-23,50
294,S083,C01,IS,2022-12-26,100
295,S039,C04,CS,2022-12-15,100
296,S023,C04,CS,2022-11-01,60
297,S034,C08,CS,2023-02-27,100
298,S011,C10,AI,2023-02-13,40
299,S051,C07,AI,2023-04-04,80
300,S091,C01,IS,2023-02-18,40
301,S065,C10,CS,2023-04-11,80
302,S074,C09,CS,2023-04-12,40
303,S064,C10,IT,2023-03-18,100
304,S010,C05,CS,2022-11-11,90
305,S092,C05,IS,2023-02-03,100
306,S078,C09,IT,2022-10-19,70
307,S055,C06,IT,2023-03-14,40
308,S079,C07,CS,2022-11-01,70
309,S063,C06,IS,2022-11-13,80
310,S006,C01,AI,2023-01-12,70
311,S095,C05,IT,2022-11-07,70
312,S039,C01,IS,2023-06-21,70
313,S070,C06,AI,2022-09-08,80
314,S038,C03,IS,2022-11-29,80
315,S027,C09,IT,2022-10-08,50
316,S012,C08,IS,2023-02-12,100
317,S057,C06,CS,2023-03-07,90
318,S021,C02,CS,2023-05-26,90
319,S094,C10,IS,2022-10-16,60
320,S078,C10,IS,2023-06-19,60
321,S018,C08,CS,2023-01-30,90
322,S034,C08,AI,2022-10-04,40
323,S066,C06,AI,2023-04-15,60
324,S052,C03,IS,2022-12-27,100
325,S090,C01,IT,2023-03-14,100
326,S005,C10,CS,2022-09-26,90
327,S027,C10,IS,2023-05-10,70
328,S092,C01,AI,2023-04-04,40
329,S010,C05,AI,2022-09-15,90
330,S097,C04,AI,2023-04-12,50
331,S067,C10,CS,2023-05-21,50
332,S044,C07,AI,2023-06-05,70
333,S024,C09,CS,2022-10-16,40
334,S006,C04,CS,2022-09-29,100
335,S053,C06,IS,2023-04-23,80
336,S086,C09,IS,2023-06-21,100
337,S009,C09,IT,2023-02-10,70
338,S083,C08,AI,2023-04-06,70
339,S079,C08,IT,2023-04-25,90
340,S036,C09,IT,2022-11-11,50
341,S004,C06,IT,2022-09-21,40
342,S020,C10,CS,2023-03-24,40
343,S058,C03,CS,2023-05-09,100
344,S005,C02,CS,2023-06-07,100
345,S086,C03,IT,2023-03-16,60
346,S010,C09,AI,2022-11-01,50
347,S097,C08,AI,2023-05-15,60
348,S060,C09,AI,2023-02-19,70
349,S080,C06,IS,2023-06-09,60
350,S070,C02,IT,2022-11-11,100
351,S038,C03,CS,2023-02-07,60
352,S010,C07,IT,2023-04-21,70
353,S065,C09,CS,2023-04-01,70
354,S031,C03,CS,2022-11-21,50
355,S054,C07,AI,2023-01-08,50
356,S058,C05,AI,2023-03-28,100
357,S076,C01,AI,2022-09-24,70
358,S009,C02,CS,2023-03-26,70
359,S071,C02,IT,2023-03-20,40
360,S087,C07,IT,2023-04-14,50
361,S089,C06,AI,2022-10-27,70
362,S004,C07,IS,2023-05-01,80
363,S059,C08,CS,2023-01-05,80
364,S012,C08,IT,2022-12-11,70
365,S058,C03,IS,2023-02-05,70
366,S035,C08,IS,2022-11-24,100
367,S035,C01,AI,2023-02-12,40
368,S040,C07,CS,2023-04-15,40
369,S098,C04,IS,2022-12-23,80
370,S009,C09,AI,2022-10-26,90
371,S041,C04,IS,2022-11-04,80
372,S036,C02,IT,2023-03-02,100
373,S039,C09,AI,2022-12-15,60
374,S006,C07,IT,2023-03-20,90
375,S084,C01,CS,2022-12-05,100
376,S043,C05,CS,2022-10-18,80
377,S001,C07,AI,2022-09-13,40
378,S008,C02,CS,2023-02-18,80
379,S036,C08,CS,2023-01-16,70
380,S051,C02,IT,2022-11-07,100
381,S089,C10,IT,2022-11-20,80
382,S100,C03,AI,2022-10-26,70
383,S042,C05,CS,2023-06-23,80
384,S049,C04,IS,2023-02-12,90
385,S073,C10,CS,2023-01-03,40
386,S074,C10,IS,2023-05-17,90
387,S063,C01,AI,2023-01-02,90
388,S078,C04,AI,2023-02-26,50
389,S050,C10,IT,2023-05-26,70
390,S059,C01,AI,2023-06-16,80
391,S089,C08,IS,2023-01-16,40
392,S067,C05,AI,2023-04-08,100
393,S062,C08,AI,2023-04-07,40
394,S032,C05,IT,2023-01-03,70
395,S016,C07,AI,2023-02-23,100
396,S087,C06,AI,2022-09-28,60
397,S015,C07,CS,2023-01-28,80
398,S030,C08,IT,2023-02-27,50
399,S021,C01,IS,2022-09-08,50
400,S059,C06,IS,2023-01-20,70
401,S014,C01,IS,2023-01-18,70
402,S089,C05,IS,2023-01-16,70
403,S005,C07,IS,2023-04-26,40
404,S079,C10,IT,2023-02-06,60
405,S051,C01,IS,2023-02-04,40
406,S089,C09,AI,2023-05-25,40
407,S049,C06,AI,2023-01-20,60
408,S091,C02,CS,2023-03-15,90
409,S058,C09,AI,2022-12-07,50
410,S021,C03,AI,2022-11-12,80
411,S042,C08,IT,2023-03-02,40
412,S011,C09,CS,2023-04-16,50
413,S035,C10,AI,2023-04-30,40
414,S024,C03,AI,2023-04-19,60
415,S043,C03,IS,2023-02-02,100
416,S014,C10,IT,2023-06-11,70
417,S038,C05,CS,2023-03-02,90
418,S026,C03,AI,2022-09-26,70
419,S066,C10,CS,2023-05-19,80
420,S020,C06,IS,2022-09-14,70
421,S061,C03,AI,2023-01-21,60
422,S017,C05,CS,2022-10-17,100
423,S006,C10,IS,2022-11-26,90
424,S082,C05,IS,2022-09-23,40
425,S054,C06,AI,2023-06-19,80
426,S089,C09,IS,2022-12-05,90
427,S069,C03,IS,2023-02-15,50
428,S077,C09,IS,2023-05-03,40
429,S097,C10,IT,2023-02-24,80
430,S093,C10,IS,2023-05-10,70
431,S036,C01,AI,2023-01-23,100
432,S087,C07,IS,2023-06-27,90
433,S096,C02,AI,2023-02-20,50
434,S092,C01,IT,2022-12-14,60
435,S095,C10,IS,2023-03-23,60
436,S057,C10,CS,2022-10-09,100
437,S016,C10,IS,2022-12-09,90
438,S071,C10,CS,2022-11-29,100
439,S024,C09,IS,2023-04-06,80
440,S094,C05,AI,2023-01-09,40
441,S059,C03,IS,2022-10-21,60
442,S090,C06,AI,2023-01-13,60
443,S099,C09,IT,2022-09-08,70
444,S083,C10,IT,2023-01-06,40
445,S042,C10,AI,2023-04-06,40
446,S064,C05,AI,2023-06-01,60
447,S068,C10,IS,2023-06-08,90
448,S033,C04,AI,2023-06-12,40
449,S010,C04,CS,2022-11-06,50
450,S060,C09,CS,2022-10-18,80
451,S037,C08,AI,2022-11-28,80
452,S005,C03,CS,2022-12-23,50
453,S003,C10,AI,2023-05-26,60
454,S092,C09,CS,2022-10-06,100
455,S033,C10,IT,2022-10-30,60
456,S021,C04,AI,2023-03-29,40
457,S081,C02,CS,2023-02-07,100
458,S041,C09,CS,2022-10-07,80
459,S044,C07,AI,2022-12-23,60
460,S060,C09,AI,2022-10-17,50
461,S034,C01,CS,2022-09-12,90
462,S007,C06,AI,2023-06-10,70
463,S079,C04,CS,2023-03-27,100
464,S019,C03,IS,2023-03-28,80
465,S098,C02,AI,2022-10-26,90
466,S090,C08,AI,2022-09-13,50
467,S097,C09,AI,2022-12-04,70
468,S030,C10,IS,2023-04-26,100
469,S036,C04,IS,2023-03-04,80
470,S094,C04,IS,2023-06-01,40
471,S089,C03,IT,2023-05-12,80
472,S004,C07,IT,2023-06-22,70
473,S084,C03,CS,2023-04-04,50
474,S052,C02,IT,2022-12-11,70
475,S060,C04,CS,2023-05-16,100
476,S066,C08,IT,2022-11-29,40
477,S093,C08,IT,2022-11-28,80
478,S035,C02,IT,2023-05-27,60
479,S079,C10,IS,2023-05-16,40
480,S100,C03,CS,2022-12-20,50
481,S094,C03,IS,2022-12-25,70
482,S054,C08,IS,2022-11-11,100
483,S064,C06,IS,2022-09-25,40
484,S097,C10,IT,2022-11-01,40
485,S072,C10,IT,2023-03-14,70
486,S038,C09,AI,2022-09-10,40
487,S041,C04,AI,2022-10-11,50
488,S008,C05,CS,2022-09-30,100
489,S057,C08,IT,2022-12-13,100
490,S093,C04,CS,2022-10-04,50
491,S063,C09,IS,2023-01-19,100
492,S009,C04,CS,2022-11-11,40
493,S014,C07,AI,2023-03-14,60
494,S036,C10,CS,2022-10-12,50
495,S015,C07,IS,2023-06-20,40
496,S046,C09,AI,2023-04-11,70
497,S025,C03,IT,2022-11-04,100
498,S083,C10,CS,2023-04-13,60
499,S067,C10,IS,2022-10-08,40
500,S054,C08,AI,2023-01-09,80
