AGE_DESC,MARITAL_STATUS_CODE,INCOME_DESC,HOMEOWNER_DESC,INCOME_CATEGORY_DESC,HH_COMP_DESC,HOUSEHOLD_SIZE_DESC,KID_CATEGORY_DESC,household_key
"65+","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1779
"35-44","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1788
"35-44","A","175-199K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1800
"65+","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1804
"45-54","A","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1820
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1823
"45-54","A","250K+","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1844
"35-44","A","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",1894
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1896
"55-64","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1920
"35-44","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1921
"55-64","A","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1935
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1937
"35-44","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1939
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",2017
"45-54","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2053
"35-44","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",2057
"55-64","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",2063
"55-64","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2084
"35-44","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",2085
"45-54","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2086
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2094
"65+","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",2100
"55-64","A","175-199K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2102
"35-44","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2110
"65+","A","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2140
"45-54","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",2154
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2156
"25-34","A","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2172
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",2182
"65+","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2183
"25-34","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2193
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2203
"35-44","A","200-249K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2231
"65+","A","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2234
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2243
"45-54","A","250K+","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2264
"55-64","A","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",2269
"65+","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2272
"45-54","A","250K+","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2284
"45-54","A","250K+","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2312
"45-54","A","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2314
"35-44","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2324
"45-54","A","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",2351
"45-54","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2359
"25-34","A","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2370
"45-54","A","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2407
"65+","A","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2411
"35-44","A","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2447
"45-54","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2448
"35-44","A","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2489
"65+","B","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",17
"35-44","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",31
"45-54","U","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",40
"19-24","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",48
"45-54","B","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",52
"45-54","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",57
"45-54","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",80
"25-34","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",114
"45-54","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",123
"45-54","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",149
"19-24","U","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",157
"45-54","U","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",159
"45-54","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",208
"55-64","B","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",214
"65+","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",243
"25-34","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",256
"45-54","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",264
"35-44","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",358
"19-24","B","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",409
"45-54","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",426
"19-24","B","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",456
"45-54","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",492
"45-54","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",513
"35-44","B","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",548
"45-54","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",553
"35-44","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",696
"45-54","B","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",706
"45-54","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",731
"19-24","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",786
"25-34","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",797
"65+","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",802
"35-44","B","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",879
"45-54","B","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",914
"35-44","U","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",926
"45-54","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",939
"25-34","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",949
"45-54","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",956
"25-34","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1042
"65+","U","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1062
"35-44","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1070
"25-34","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1076
"45-54","U","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1158
"25-34","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1190
"45-54","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1234
"45-54","U","Under 15K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1240
"35-44","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1352
"65+","B","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1354
"65+","U","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1370
"45-54","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",1382
"35-44","U","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1461
"65+","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1491
"35-44","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",1566
"35-44","U","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1662
"45-54","U","15-24K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1686
"45-54","B","100-124K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",1791
"45-54","U","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",1795
"45-54","U","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1802
"65+","U","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",1814
"45-54","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1841
"25-34","U","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",1926
"25-34","B","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2024
"25-34","B","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2058
"45-54","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",2111
"55-64","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",2121
"45-54","U","75-99K","Homeowner","75-99K","2 Adults No Kids",2,"None/Unknown",2123
"65+","B","35-49K","Homeowner","35-49K","2 Adults No Kids",2,"None/Unknown",2188
"35-44","U","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2296
"45-54","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2300
"45-54","U","250K+","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2328
"45-54","U","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2374
"35-44","U","125-149K","Homeowner","100-150K","2 Adults No Kids",2,"None/Unknown",2446
"45-54","B","25-34K","Homeowner","Under 35K","2 Adults No Kids",2,"None/Unknown",2455
"25-34","U","150-174K","Homeowner","150K+","2 Adults No Kids",2,"None/Unknown",2479
"35-44","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2494
"25-34","U","50-74K","Homeowner","50-74K","2 Adults No Kids",2,"None/Unknown",2498
"35-44","A","25-34K","Homeowner","Under 35K","Single Female",2,"None/Unknown",71
"25-34","A","15-24K","Homeowner","Under 35K","Single Female",2,"None/Unknown",109
"45-54","A","Under 15K","Homeowner","Under 35K","Single Male",2,"None/Unknown",133
"55-64","A","25-34K","Homeowner","Under 35K","Single Female",2,"None/Unknown",134
"45-54","A","35-49K","Homeowner","35-49K","Single Male",2,"None/Unknown",192
"65+","A","35-49K","Homeowner","35-49K","Single Female",2,"None/Unknown",211
"25-34","A","75-99K","Homeowner","75-99K","Single Male",2,"None/Unknown",309
"45-54","A","75-99K","Homeowner","75-99K","Single Male",2,"None/Unknown",317
"55-64","A","50-74K","Homeowner","50-74K","Single Female",2,"None/Unknown",378
"25-34","B","35-49K","Homeowner","35-49K","1 Adult Kids",2,"1",381
"65+","A","15-24K","Homeowner","Under 35K","Single Female",2,"None/Unknown",412
"55-64","A","35-49K","Homeowner","35-49K","Single Female",2,"None/Unknown",458
"55-64","A","35-49K","Homeowner","35-49K","Single Male",2,"None/Unknown",576
"55-64","A","50-74K","Homeowner","50-74K","Unknown",2,"None/Unknown",660
"45-54","A","175-199K","Homeowner","150K+","Single Female",2,"None/Unknown",740
"45-54","A","100-124K","Homeowner","100-150K","Single Female",2,"None/Unknown",784
"55-64","A","Under 15K","Homeowner","Under 35K","Single Female",2,"None/Unknown",906
"35-44","B","35-49K","Homeowner","35-49K","1 Adult Kids",2,"1",979
"45-54","A","25-34K","Homeowner","Under 35K","Single Female",2,"None/Unknown",981
"25-34","A","Under 15K","Homeowner","Under 35K","Single Male",2,"None/Unknown",1045
"45-54","A","35-49K","Homeowner","35-49K","Unknown",2,"None/Unknown",1154
"25-34","A","50-74K","Homeowner","50-74K","Single Female",2,"None/Unknown",1175
"45-54","A","25-34K","Homeowner","Under 35K","Single Female",2,"None/Unknown",1261
"65+","A","35-49K","Homeowner","35-49K","Single Female",2,"None/Unknown",1272
"55-64","A","35-49K","Homeowner","35-49K","Single Male",2,"None/Unknown",1291
"65+","A","25-34K","Homeowner","Under 35K","Single Female",2,"None/Unknown",1296
"65+","A","100-124K","Homeowner","100-150K","Single Female",2,"None/Unknown",1389
"35-44","A","75-99K","Homeowner","75-99K","Single Female",2,"None/Unknown",1618
"35-44","A","150-174K","Homeowner","150K+","Single Male",2,"None/Unknown",1710
"65+","A","75-99K","Homeowner","75-99K","Single Female",2,"None/Unknown",1829
"65+","A","75-99K","Homeowner","75-99K","Single Female",2,"None/Unknown",1850
"55-64","A","50-74K","Homeowner","50-74K","Single Female",2,"None/Unknown",1980
"55-64","A","50-74K","Homeowner","50-74K","Single Female",2,"None/Unknown",2068
"65+","A","15-24K","Homeowner","Under 35K","Single Female",2,"None/Unknown",2465
"45-54","B","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",16
"65+","B","35-49K","Homeowner","35-49K","Single Male",1,"None/Unknown",86
"25-34","U","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",110
"45-54","B","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",118
"35-44","B","75-99K","Homeowner","75-99K","Single Male",1,"None/Unknown",139
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",158
"35-44","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",216
"35-44","B","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",281
"45-54","B","100-124K","Homeowner","100-150K","Single Male",1,"None/Unknown",289
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",383
"25-34","B","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",387
"45-54","B","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",441
"65+","B","25-34K","Homeowner","Under 35K","Single Female",1,"None/Unknown",460
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",473
"35-44","U","25-34K","Homeowner","Under 35K","Single Male",1,"None/Unknown",485
"65+","B","35-49K","Homeowner","35-49K","Single Male",1,"None/Unknown",523
"45-54","U","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",527
"25-34","B","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",540
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",661
"35-44","U","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",671
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",680
"65+","B","15-24K","Homeowner","Under 35K","Single Female",1,"None/Unknown",690
"65+","U","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",692
"35-44","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",755
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",771
"25-34","B","25-34K","Homeowner","Under 35K","Single Male",1,"None/Unknown",787
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",790
"19-24","B","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",845
"55-64","B","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",856
"35-44","U","15-24K","Homeowner","Under 35K","Single Female",1,"None/Unknown",864
"45-54","U","75-99K","Homeowner","75-99K","Unknown",1,"None/Unknown",867
"65+","B","35-49K","Homeowner","35-49K","Single Male",1,"None/Unknown",947
"45-54","U","75-99K","Homeowner","75-99K","Single Male",1,"None/Unknown",997
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1001
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1015
"65+","B","35-49K","Homeowner","35-49K","Single Male",1,"None/Unknown",1137
"65+","U","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",1160
"45-54","U","15-24K","Homeowner","Under 35K","Single Female",1,"None/Unknown",1222
"45-54","U","75-99K","Homeowner","75-99K","Unknown",1,"None/Unknown",1258
"65+","U","50-74K","Homeowner","50-74K","Single Male",1,"None/Unknown",1260
"35-44","U","75-99K","Homeowner","75-99K","Unknown",1,"None/Unknown",1297
"45-54","U","Under 15K","Homeowner","Under 35K","Single Male",1,"None/Unknown",1326
"65+","B","100-124K","Homeowner","100-150K","Single Female",1,"None/Unknown",1364
"55-64","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1376
"35-44","B","150-174K","Homeowner","150K+","Single Female",1,"None/Unknown",1393
"35-44","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1474
"25-34","B","50-74K","Homeowner","50-74K","Single Male",1,"None/Unknown",1475
"35-44","U","50-74K","Homeowner","50-74K","Single Male",1,"None/Unknown",1485
"45-54","U","15-24K","Homeowner","Under 35K","Unknown",1,"None/Unknown",1549
"55-64","B","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",1568
"45-54","B","150-174K","Homeowner","150K+","Single Female",1,"None/Unknown",1585
"35-44","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1588
"45-54","U","50-74K","Homeowner","50-74K","Single Male",1,"None/Unknown",1595
"35-44","B","150-174K","Homeowner","150K+","Single Male",1,"None/Unknown",1649
"35-44","B","Under 15K","Homeowner","Under 35K","Single Female",1,"None/Unknown",1653
"35-44","U","25-34K","Homeowner","Under 35K","Single Male",1,"None/Unknown",1695
"55-64","U","75-99K","Homeowner","75-99K","Single Female",1,"None/Unknown",1726
"55-64","B","35-49K","Homeowner","35-49K","Single Male",1,"None/Unknown",1749
"45-54","U","35-49K","Homeowner","35-49K","Unknown",1,"None/Unknown",1753
"65+","U","Under 15K","Homeowner","Under 35K","Single Female",1,"None/Unknown",1797
"55-64","U","75-99K","Homeowner","75-99K","Single Male",1,"None/Unknown",1831
"25-34","B","150-174K","Homeowner","150K+","Single Female",1,"None/Unknown",1858
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1865
"55-64","B","75-99K","Homeowner","75-99K","Single Female",1,"None/Unknown",1914
"35-44","B","25-34K","Homeowner","Under 35K","Single Male",1,"None/Unknown",1929
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1931
"35-44","U","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",1948
"45-54","U","50-74K","Homeowner","50-74K","Unknown",1,"None/Unknown",1953
"65+","U","15-24K","Homeowner","Under 35K","Single Female",1,"None/Unknown",1989
"35-44","U","35-49K","Homeowner","35-49K","Single Female",1,"None/Unknown",2002
"45-54","U","75-99K","Homeowner","75-99K","Single Male",1,"None/Unknown",2011
"35-44","B","75-99K","Homeowner","75-99K","Single Female",1,"None/Unknown",2030
"25-34","U","25-34K","Homeowner","Under 35K","Single Male",1,"None/Unknown",2040
"45-54","B","100-124K","Homeowner","100-150K","Unknown",1,"None/Unknown",2087
"25-34","U","50-74K","Homeowner","50-74K","Single Male",1,"None/Unknown",2119
"25-34","B","50-74K","Homeowner","50-74K","Single Female",1,"None/Unknown",2130
"45-54","U","75-99K","Homeowner","75-99K","Unknown",1,"None/Unknown",2162
"55-64","B","25-34K","Homeowner","Under 35K","Single Male",1,"None/Unknown",2194
